======================================================================
         多元非线性方程组求解结果报告
======================================================================

生成时间: 2026-05-23 22:25:48

----------------------------------------------------------------------
方程组:
----------------------------------------------------------------------
  f1(x, y) = sin(x) + y**2 - 2
  f2(x, y) = x**2 - y - 1

----------------------------------------------------------------------
求解结果摘要:
----------------------------------------------------------------------
  状态:         max_iterations
  迭代次数:     100
  残差范数:     3.5771966594e+03
  消息:         达到最大迭代次数 (100)

  解:
    x = -6.2756196672
    y = -59.8150566785

----------------------------------------------------------------------
迭代历史:
----------------------------------------------------------------------
    迭代              x              y           残差范数             步长
    78      -1.792036      -0.539613   3.843731e+00   8.863135e+00
    79     -10.655099      -0.575348   1.131088e+02   2.422653e-01
    80     -10.896737      -0.592773   1.183335e+02   5.179716e+00
    81      -5.725274      -0.300499   3.210894e+01   1.169030e+00
    82      -4.556355      -0.284403   2.006640e+01   2.179133e+00
    83      -2.377293      -0.266745   5.573004e+00   1.752972e+01
    84     -19.835823       1.311543   3.911499e+02   1.524827e+01
    85      -4.683501      -0.396314   2.134816e+01   1.463042e-01
    86      -4.622589      -0.529335   2.091019e+01   6.283720e+00
    87      -2.644646      -6.493636   4.160872e+01   3.903904e+00
    88      -3.535181     -10.294611   1.066135e+02   4.607500e+00
    89      -1.405102      -6.209048   3.628414e+01   2.452281e+00
    90      -0.347093      -3.996742   1.398560e+01   1.444780e+00
    91       0.395238      -2.757253   6.285790e+00   1.090426e+00
    92       1.165136      -1.985056   3.696391e+00   1.353143e+01
    93       0.592515     -15.504369   2.394053e+02   6.865507e+00
    94       2.374179     -22.134667   4.893706e+02   2.795623e+01
    95       0.930790     -50.053607   2.504663e+03   2.319427e+01
    96       3.680108     -73.084361   5.339498e+03   1.139210e+01
    97      -0.669662     -83.613343   6.989064e+03   9.403109e+01
    98      18.143294    -175.743243   3.088715e+04   1.878676e+02
    99      -7.507019      10.365034   1.137674e+02   7.019089e+01

======================================================================
                     报告结束
======================================================================
